CountryName,CountryCode,Indicator Name,Indicator Code,GDP1990,GDP1995,GDP2000,GDP2005,GDP2011,GDP2017,A1990,A1995,A2000,A2005,A2011,A2017
"Hong Kong SAR, China",HKG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.830541688,2.373828787,7.663574484,7.388235676,4.814646111,3.791034335,,,,,,
Honduras,HND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.791748949,6.189304558,7.291288159,6.050599222,3.835690662,4.842913911,27.11257224,27.80802581,27.57162526,28.07955146,28.90074716,20.62885065
Heavily indebted poor countries (HIPC),HPC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.35224779,5.075853103,2.608894571,5.972333518,4.642322907,4.685421087,39.83219054,39.85852256,39.65523861,37.75304484,37.92088795,40.71806235
Croatia,HRV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,2.861746843,4.308493379,-0.198369263,3.439217352,21.93869129,20.925025,21.51238502,22.12263296,21.96600369,17.90177229
Haiti,HTI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.038122801,9.897707497,0.870059257,3.617614016,6.154225158,2.286127252,17.30372331,18.26293938,17.77978999,17.46177208,18.75791703,15.01982438
Hungary,HUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.489525475,4.479191193,4.243622884,1.937107794,4.316780987,21.83986141,20.01744577,18.98184965,19.46655171,19.36069,15.92604819
IBRD only,IBD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.009277327,3.731692134,5.63141327,6.899224015,5.996897443,4.965273009,50.76454114,51.5061103,52.90120287,56.63893368,60.12189126,52.02150881
IDA & IBRD total,IBT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.152213903,3.705109029,5.51294628,6.855779485,5.899120648,4.907948349,50.4870039,51.02297185,52.02521174,54.70625534,57.23623512,51.17447271
IDA total,IDA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.072780575,3.330840556,3.808199523,6.241416073,4.501780275,4.093419328,49.32787513,49.12091864,48.78060947,47.99945767,47.98819396,48.65999304
IDA blend,IDB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.651908624,1.815157767,3.780556016,5.935399238,4.80773796,2.715367888,57.92593907,56.98231513,56.38495939,54.35061787,53.47949413,57.1610483
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.242131639,8.220007399,4.920067747,5.692571304,6.169784208,5.069785901,18.05281101,18.16476574,17.87738998,18.92663745,18.04965117,16.5026533
IDA only,IDX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.147357979,5.05578498,3.836892302,6.56366788,4.196145068,5.441063274,44.99777204,45.17366536,44.95688081,44.82155265,45.22262868,44.34853393
Isle of Man,IMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.186976816,4.3,5.3,5.9,2,2.837739696,,,,,,
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.533454563,7.57449184,3.840991157,7.923430621,5.241344743,7.043820855,81.29063063,82.77130187,84.16480618,90.3264588,97.59937863,90.87321047
Ireland,IRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.46652875,9.634421813,9.445750657,5.700089642,0.343441112,8.145296263,10.40502692,10.14926046,10.13777616,9.922228363,10.28507938,8.208576735
